,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-07-18,249.485474,171.185959,152.490891,97.192017,116.309998,56.407467,20.988316
2018-07-19,248.544510,170.329773,153.571167,97.808014,115.809998,56.381123,21.030121
2018-07-20,248.260498,170.291672,152.944748,96.608002,116.559998,56.407467,20.862885
2018-07-23,248.722092,170.833984,153.135406,95.416000,116.000000,56.387711,20.896334
2018-07-24,249.973694,171.538010,151.501404,95.743996,116.040001,56.506306,20.904696
2018-07-25,252.104095,173.935516,152.055115,95.592010,116.680000,56.611721,20.804352
2018-07-26,251.509293,171.300140,152.872162,95.407997,115.769997,56.618290,20.946505
2018-07-27,249.804993,168.988220,150.021698,95.568008,115.830002,56.598530,20.921419
2018-07-30,248.500168,166.600281,149.059448,95.239990,115.650002,56.618290,20.846163
2018-07-31,249.725143,167.875107,150.575424,95.760002,115.989998,56.736885,20.887972
2018-08-01,249.307968,168.512512,150.475571,94.979828,115.139999,56.787827,20.913057
2018-08-02,250.666077,170.805420,151.574005,95.116188,114.519997,56.820904,21.030121
2018-08-03,251.740128,171.328705,151.047501,95.589203,114.919998,56.867222,21.046848
2018-08-06,252.663239,172.337173,151.891769,95.645325,114.330002,56.973072,21.080294
2018-08-07,253.497665,172.965164,152.254852,95.148254,114.589996,56.999546,21.055210
2018-08-08,253.391174,173.174438,152.118668,95.244499,114.910004,56.966446,21.030121
2018-08-09,253.044983,173.069839,152.509048,96.046265,114.739998,56.926754,21.155550
2018-08-10,251.349503,171.747314,152.082352,96.743813,114.690002,56.827522,21.306067
2018-08-13,250.408615,171.557022,151.192734,96.543381,112.959999,56.787827,21.314428
2018-08-14,252.006363,172.632126,152.690598,96.326881,113.070000,56.887089,21.398048
2018-08-15,250.124542,170.520020,150.775146,96.888115,111.190002,56.787827,21.398048
2018-08-16,252.148468,171.081360,152.173141,96.880089,111.099998,56.860615,21.381325
2018-08-17,253.036118,171.119385,152.826721,97.000359,112.129997,56.926754,21.272619
2018-08-20,253.577515,170.967178,153.253433,97.649849,112.690002,56.953251,21.222446
2018-08-21,254.172256,171.595093,155.014557,97.321075,113.019997,57.039249,21.097019
2018-08-22,254.021347,172.261108,155.395798,97.705910,113.269997,57.059105,21.038486
2018-08-23,253.684052,172.013718,154.923782,97.858238,112.199997,57.052460,21.172277
2018-08-24,255.210907,173.612076,155.768036,98.050728,114.160004,57.151714,21.071934
2018-08-27,257.225830,175.381699,155.994965,97.489471,114.589996,57.171574,20.988316
2018-08-28,257.350159,175.638565,156.140182,96.904167,113.680000,57.145096,20.988316
2018-08-29,258.734863,177.665085,156.594101,97.032463,114.199997,57.112019,20.954865
2018-08-30,257.687408,177.351105,156.467026,97.240860,113.639999,57.065727,20.971592
2018-08-31,257.696289,177.579422,157.066162,97.016380,113.510002,57.138496,21.063572
2018-09-04,257.252411,176.818314,156.367142,96.455528,112.930000,57.019539,21.155550
2018-09-05,256.560120,174.534958,155.949539,96.198334,113.320000,56.959728,21.080294
2018-09-06,255.787888,172.974625,154.896545,96.551910,113.540001,57.006245,21.080294
2018-09-07,255.290756,172.308685,154.814804,95.732277,113.230003,56.946442,21.138830
2018-09-10,255.734573,172.888992,155.005447,96.085854,113.150002,57.059391,21.097019
2018-09-11,256.577850,174.220993,155.259644,95.354584,113.220001,57.072704,21.113743
2018-09-12,256.639954,173.707199,154.887451,95.579552,114.169998,57.205582,21.038486
2018-09-13,258.157898,175.562454,154.923782,95.724213,113.760002,57.311932,20.979954
2018-09-14,258.202240,175.048706,155.577362,95.266167,113.019997,57.365067,21.055210
2018-09-17,256.835266,172.527481,153.925201,95.266167,113.610001,57.325203,20.954865
2018-09-18,258.228912,173.954605,154.569717,94.269669,113.440002,57.318584,20.988316
2018-09-19,258.504059,173.821426,154.006882,93.707214,113.879997,57.212231,20.979954
2018-09-20,260.598938,175.743210,155.432144,94.141151,114.269997,57.291988,20.829439
2018-09-21,260.360901,174.782272,154.687744,94.100975,113.489998,57.305283,20.896334
2018-09-24,259.495911,175.268387,154.115860,93.859901,113.470001,57.278698,20.896334
2018-09-25,259.255157,175.506638,154.351898,93.763412,113.650002,57.232162,20.913057
2018-09-26,258.479370,175.630615,152.941071,94.422394,113.050003,57.291988,20.921419
2018-09-27,259.201691,177.117416,152.950104,94.486671,112.050003,57.398300,21.071934
2018-09-28,259.228485,177.079285,153.414337,94.237595,112.760002,57.438175,21.122105
2018-10-01,260.129028,177.441513,151.393677,93.545761,112.570000,57.604355,21.155550
2018-10-02,259.977448,177.041153,149.755341,94.117569,113.870003,57.557648,21.188997
2018-10-03,260.120117,177.231781,151.066040,92.482651,113.419998,57.404140,21.255896
2018-10-04,258.087097,173.829163,148.945251,91.830307,113.480003,57.190525,21.264256
2018-10-05,256.642609,171.703751,147.598175,91.040947,113.800003,56.936882,21.239170
2018-10-08,256.642609,170.655304,147.288712,90.734955,112.540001,56.810070,21.264256
2018-10-09,256.268066,171.208145,146.715256,91.653099,112.599998,56.896816,21.255896
2018-10-10,248.153824,163.678482,142.501053,91.403397,112.879997,56.489658,21.230808
2018-10-11,242.687820,161.648376,139.779572,92.514870,115.779999,56.536400,21.113743
2018-10-12,246.058380,166.147064,139.806824,92.192711,115.230003,56.836773,21.180635
2018-10-15,244.676147,164.136032,140.325653,92.152412,116.000000,56.796711,21.130465
2018-10-16,250.026245,168.911163,144.394241,92.361862,115.800003,56.990303,21.138830
2018-10-17,250.070847,168.977798,143.775330,91.814156,115.790001,56.876820,21.247532
2018-10-18,246.459625,165.060501,141.081131,91.781921,115.919998,56.636482,21.339514
2018-10-19,246.325851,164.908066,139.588394,91.580582,116.010002,56.669865,21.297703
2018-10-22,245.220215,165.756302,139.287994,91.459785,115.709999,56.696590,21.372961
2018-10-23,243.971878,165.146301,138.041077,91.749725,116.389999,56.643196,21.339514
2018-10-24,236.579788,157.588104,132.843826,92.442383,116.660004,56.362835,21.448215
2018-10-25,240.824203,163.039917,135.720093,92.055779,116.400002,56.476334,21.506750
2018-10-26,236.588715,158.846222,134.236435,92.611504,116.769997,56.222660,21.448215
2018-10-29,235.277939,155.577011,133.499146,92.402138,116.309998,56.169247,21.506750
2018-10-30,238.764435,158.140869,136.284378,91.943031,115.800003,56.302761,21.598732
2018-10-31,241.314606,161.858047,136.557388,91.475906,115.150002,56.302761,21.590368
2018-11-01,243.882645,163.993042,139.706680,91.560661,116.629997,56.561008,21.448215
2018-11-02,242.438202,161.438629,140.170990,90.422302,116.650002,56.527481,21.498388
2018-11-05,243.775681,161.038391,140.061691,90.777557,116.370003,56.574436,21.490028
2018-11-06,245.318192,162.258362,140.753433,90.721001,116.040001,56.722004,21.439856
2018-11-07,250.570236,167.348007,143.274734,90.842140,116.029999,57.050705,21.398048
2018-11-08,250.115448,166.280502,142.892441,90.834053,115.779999,56.909859,21.523472
2018-11-09,247.672256,163.478378,140.243729,91.512199,114.480003,56.587852,21.565285
2018-11-12,243.044479,158.531723,137.467651,92.109642,113.660004,56.239044,21.757607
2018-11-13,242.589691,158.665070,137.030716,92.053162,113.699997,56.145142,21.682348
2018-11-14,240.931229,157.454666,136.029480,92.109642,114.639999,56.037811,21.607094
2018-11-15,243.445755,160.209137,137.968262,92.069267,114.769997,56.024406,21.657265
2018-11-16,244.078812,159.646805,138.295929,92.602135,115.620003,55.856701,21.498388
2018-11-19,239.950363,154.461884,135.492462,92.860504,115.669998,55.682293,21.481667
2018-11-20,235.509811,151.697845,132.880234,92.892815,115.669998,55.507900,21.590368
2018-11-21,236.312347,152.851028,134.737030,92.860504,115.860001,55.789623,21.590368
2018-11-23,234.734039,151.745514,134.609589,92.957382,115.769997,55.481052,21.632179
2018-11-26,238.523682,155.252960,136.357208,92.747467,115.639999,55.742672,21.673988
2018-11-27,239.326157,155.777176,135.228531,92.852394,114.949997,55.715797,21.732521
2018-11-28,244.836807,160.790573,138.568939,92.400345,115.379997,56.178661,21.623816
2018-11-29,244.301804,160.266342,138.195786,92.763634,115.739998,56.192085,21.590368
2018-11-30,245.790863,161.429153,138.914856,93.110779,115.540001,56.078056,21.673988
2018-12-03,249.045456,164.250381,140.243729,93.771889,116.410004,56.466187,21.682348
2018-12-04,240.975800,157.950287,134.272827,95.341774,117.120003,56.115784,21.640541
2018-12-06,240.610229,159.065430,133.981506,95.641174,117.139999,55.920383,21.632179
2018-12-07,235.019440,153.813782,131.087082,95.819237,118.089996,55.812584,21.573645
2018-12-10,235.465225,155.424530,130.704834,96.215759,117.680000,55.852993,21.715797
