,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-10-29,235.277954,155.576996,133.499161,92.402107,116.309998,56.169266,21.506750
2018-10-30,238.764450,158.140884,136.284348,91.943039,115.800003,56.302780,21.598732
2018-10-31,241.314575,161.858078,136.557419,91.475929,115.150002,56.302780,21.590370
2018-11-01,243.882675,163.993027,139.706726,91.560699,116.629997,56.561024,21.448215
2018-11-02,242.438141,161.438721,140.170914,90.422348,116.650002,56.527489,21.498388
2018-11-05,243.775665,161.038376,140.061707,90.777527,116.370003,56.574429,21.490028
2018-11-06,245.318298,162.258377,140.753448,90.721046,116.040001,56.722015,21.439856
2018-11-07,250.570251,167.347992,143.274719,90.842140,116.029999,57.050705,21.398046
2018-11-08,250.115555,166.280502,142.892426,90.834061,115.779999,56.909866,21.523472
2018-11-09,247.672272,163.478348,140.243713,91.512245,114.480003,56.587852,21.565285
2018-11-12,243.044525,158.531693,137.467667,92.109627,113.660004,56.239048,21.757607
2018-11-13,242.589645,158.665161,137.030685,92.053154,113.699997,56.145145,21.682352
2018-11-14,240.931213,157.454666,136.029495,92.109627,114.639999,56.037811,21.607094
2018-11-15,243.445709,160.209137,137.968262,92.069290,114.769997,56.024391,21.657265
2018-11-16,244.078796,159.646835,138.295898,92.602127,115.620003,55.856686,21.498388
2018-11-19,239.950424,154.461884,135.492477,92.860474,115.669998,55.682297,21.481665
2018-11-20,235.509857,151.697815,132.880188,92.892799,115.669998,55.507919,21.590370
2018-11-21,236.312347,152.851120,134.737030,92.860474,115.860001,55.789616,21.590370
2018-11-23,234.734055,151.745453,134.609589,92.957375,115.769997,55.481052,21.632177
2018-11-26,238.523682,155.252930,136.357162,92.747498,115.639999,55.742626,21.673988
2018-11-27,239.326157,155.777176,135.228561,92.852394,114.949997,55.715839,21.732519
2018-11-28,244.836731,160.790588,138.568954,92.400322,115.379997,56.178673,21.623819
2018-11-29,244.301743,160.266342,138.195786,92.763626,115.739998,56.192066,21.590370
2018-11-30,245.790802,161.429184,138.914856,93.110779,115.540001,56.078064,21.673988
2018-12-03,249.045486,164.250381,140.243713,93.771889,116.410004,56.466167,21.682352
2018-12-04,240.975815,157.950226,134.272812,95.341759,117.120003,56.115799,21.640541
2018-12-06,240.610184,159.065445,133.981567,95.641174,117.139999,55.920403,21.632177
2018-12-07,235.019470,153.813766,131.087143,95.819221,118.089996,55.812576,21.573645
2018-12-10,235.465240,155.424515,130.704803,96.215721,117.680000,55.853008,21.715799
